Part Number,# of Amps,GBP (typ),Slew Rate (typ),VNoise Density (typ),0.1 to 10 Hz VNoise (typ),Current Noise Density (typ),Iq/Amp (typ),Vs span (min),Vs span (max),Price (1000+),Package
,,Hz,V/us,V/rtHz,V p-p,A/rtHz,A,V,V,$ US,
LT6220,1,60000000,20,1E-08,5E-07,8E-13,0.0009,2.2,12.6,1.2,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead SOT-23
LT6221,2,60000000,20,1E-08,5E-07,8E-13,0.0009,2.2,12.6,1.85,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT6222,4,60000000,20,1E-08,5E-07,8E-13,0.0009,2.2,12.6,2.95,16-Lead SSOP (Narrow 0.15 Inch)
AD8529,2,8000000,2.9,1E-08,5E-07,4E-13,0.0012,2.7,12,1.24,8-Lead SOIC 8-Lead MSOP
AD8519,1,8000000,2.9,1E-08,5E-07,4E-13,0.0012,2.7,12,0.94,5-Lead SC70 5-Lead SOT-23
LT1213,2,28000000,8.5,1E-08,2E-07,2E-13,0.0027,2.5,36,2.85,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch)
LT6013,1,1600000,0.2,9.5E-09,2E-07,1.5E-13,0.000145,2.7,40,1.1,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT6014,2,1600000,0.2,9.5E-09,2E-07,1.5E-13,0.000145,2.7,40,1.65,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
OP162,1,15000000,13,9.5E-09,5E-07,4E-13,0.0006,2.7,12,1.72,8-Lead SOIC
OP262,2,15000000,13,9.5E-09,5E-07,4E-13,0.000775,2.7,12,1.5,8-Lead SOIC 8-Lead TSSOP
LTC2058,2,2500000,1.6,9E-09,2E-07,5E-13,0.00095,4.75,36,1.5,12-Lead MSOP w/ EP 8-Lead SOIC (Narrow 0.15 Inch w/ EP)
OP2177,2,1300000,0.7,7.9E-09,4E-07,2E-13,0.0004,5,30,1.53,8-Lead SOIC 8-Lead MSOP
OP1177,1,1300000,0.7,7.9E-09,4E-07,2E-13,0.0004,5,30,0.81,8-Lead SOIC 8-Lead MSOP
ADA4077-1,1,3900000,1,7E-09,2.5E-07,2E-13,0.0004,5,30,0.77,8-Lead SOIC 8-Lead MSOP
ADA4077-4,4,3900000,1,7E-09,2.5E-07,2E-13,0.0004,5,30,2.9,14-Lead SOIC 14-Lead TSSOP
ADA4077-2,2,3900000,1,7E-09,2.5E-07,2E-13,0.0004,5,30,1.38,8-Lead SOIC 8-Lead MSOP
LTC6240,1,18000000,10,7E-09,5.5E-07,5.6E-16,0.002,2.8,6,0.82,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead SOT-23
LTC6240HV,1,18000000,10,7E-09,5.5E-07,5.6E-16,0.002,2.8,12,1.4,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead SOT-23
ADA4528-2,2,3400000,0.5,5.9E-09,9.9E-08,5E-13,0.0014,2.2,5.5,1.52,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead LFCSP (2.44mm x 1.6mm w/ EP) 8-Lead MSOP
ADA4528-1,1,3400000,0.5,5.9E-09,9.9E-08,5E-13,0.0014,2.2,5.5,0.98,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead MSOP
ADA4522-1,1,2700000,1.7,5.8E-09,1.17E-07,8E-13,0.00084,4.5,55,0.84,8-Lead SOIC 8-Lead MSOP
ADA4522-2,2,2700000,1.7,5.8E-09,1.17E-07,8E-13,0.00083,4.5,55,1.46,CHIPS OR DIE 8-Lead SOIC 8-Lead MSOP
ADA4805-2,2,30000000,190,5.2E-09,3E-07,7E-13,0.00057,2.7,10,1.64,10-Lead LFCSP (3mm x 3mm) 8-Lead MSOP
ADA4805-1,1,30000000,190,5.2E-09,3E-07,7E-13,0.00057,2.7,10,0.95,6-Lead SC70 6-Lead SOT-23
OP113,1,3400000,1.2,4.7E-09,1.2E-07,4E-13,0.003,4,36,2.07,8-Lead SOIC
OP213,2,3400000,1.2,4.7E-09,1.2E-07,4E-13,0.003,4,36,2.25,8-Lead PDIP 8-Lead SOIC
ADA4523-1,1,5000000,1.85,4.2E-09,8.8E-08,1E-12,0.0045,4.5,36,0.85,8-Lead LFCSP (3mm x 3mm x 0.75mm) 8-Lead SOIC 8-Lead MSOP
ADA4084-1,1,15900000,4.6,3.9E-09,1E-07,5.5E-13,0.000625,3,30,1.5,8-Lead SOIC 5-Lead SOT-23
ADA4084-2,2,15900000,4.6,3.9E-09,1E-07,5.5E-13,0.000625,3,30,2.85,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC 8-Lead MSOP
LT1678,2,20000000,6,3.9E-09,9E-08,3E-13,0.002,3,36,2.5,8-Lead SOIC (Narrow 0.15 Inch)
OP184,1,4250000,4,3.9E-09,3E-07,4E-13,0.002,3,36,1.66,8-Lead SOIC
LT1677,1,7200000,2.5,3.2E-09,9E-08,3E-13,0.00275,2.5,44,2.15,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch)
LT6233,1,60000000,15,1.9E-09,2.2E-07,4.3E-13,0.00115,3,12.6,1.45,6-Lead SOT-23
LT6234,2,60000000,17,1.9E-09,2.2E-07,4.3E-13,0.00115,3,12.6,2.45,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
ADA4897-1,1,90000000,120,1E-09,9.9E-08,2.8E-12,0.003,3,10,1.89,8-Lead SOIC 6-Lead SOT-23
